Bitcoin,BTCUSD
Ethereum,ETHUSD
Cardano,ADAUSD
Ripple,XRPUSD
Solana,SOLUSD
Doge,DOGEUSD
ChainLink,LINKUSD
Shib,SHIBUSD
Litecoin,LTCUSD
BitcoinCash,BCHUSD
