Coin,Pair
Bitcoin,BTCUSD
Ethereum,ETHUSD
Cardano,ADAUSD
Ripple,XRPUSD
Solana,SOLUSD
Doge,DOGEUSD
ChainLink,LINKUSD
Shib,SHIBUSD
Litecoin,LTCUSD
BitcoinCash,BCHUSD
BinanceCoin,BNBUSD
Tron,TRXUSD
Avalanche,AVAXUSD
Stellar,XLMUSD
Polkadot,DOTUSD
Sui,SUIUSD
